,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n,,,,,,,,,
1721,0.089896846,0.255576687,5.611961382,0.293238318,0.614348812,7.538057146,0.917939651,1.332502457,1.592190074,1.348588793,1.045631823,3.423997144,2.15086258,0.618849008,0.205370236,0.349225989,1.101491574,0.856086241,0.039960965,0.084899617,0.09315062,0.148672962,2.657617805,0,0.537683888,0.719412188,,,,,,,,,
1722,0,0.875809178,4.244469366,0.786453659,0,3.341582347,2.62210281,1.892447028,3.542922607,2.271080549,1.517111235,4.583620478,1.436826257,1.158125075,0.938865311,2.588388385,1.133789663,2.650236165,4.71585135,7.548407482,0,0,1.153761448,1.293410388,0,0,,,,,,,,,
1723,6.763144182,2.644762923,0.880573165,2.28745674,1.796838038,0.579313329,0.34757083,1.21873423,0.85343535,0.681500046,2.385059331,0.982425483,0.615589718,0.386109143,2.845433045,1.578431982,0.629223763,1.674750765,2.34734724,2.375447905,8.365697948,4.215429229,0.940461201,2.002801535,1.63778214,1.548940108,,,,,,,,,
1724,1.162660431,1.748498431,2.112813619,1.295823533,2.934485795,0.721018145,0.900933009,1.618373002,1.746929516,1.31615457,1.112746426,4.820980667,2.123621384,1.234542472,0.141163913,1.673943939,1.664612108,3.182439749,13.99229427,45.76360766,7.608015203,7.798341288,0.422410955,1.081831808,1.147520613,1.117285727,,,,,,,,,
1725,0,0.964368426,0.309936232,0,0.766994916,0.60922588,0.614530606,0.348436737,0.148469298,0.29660698,0.875406275,1.360650496,0.705276632,1.24217836,2.273385439,1.794612027,0.983018195,0,0,0,0,0,0.18817067,0.816048202,0.48022879,0.566805309,,,,,,,,,
1726,0,0.757108239,6.503856432,1.529694613,0.680932961,4.450293919,1.159675485,2.284800763,1.407866333,1.867483649,1.366706158,1.478882214,0.485222496,1.257825662,0.780337666,1.252453461,1.419371981,6.743285782,19.6189754,0,0,0,1.634144517,1.467593043,0.776539077,0.743108006,,,,,,,,,
1727,0,0.021305585,0,1.852713284,0.067572405,1.615354812,0.527763917,0,0,1.665130886,0.552053332,2.833904688,0.591362787,0.613257459,0.268766778,0.77548916,1.11845688,0,0,0,0,0,3.01325507,1.743524205,0.02092304,0.030148407,,,,,,,,,
1728,0.156960924,3.246978431,1.406743678,0.621895451,1.055942687,1.952393133,0.484789408,0.5579638,0.778712789,1.344866401,1.745430852,1.283656152,0.198464625,3.011429006,1.272464019,1.56818602,1.4659598,1.287812186,1.878497104,3.364552398,0.126808259,0.145388442,1.854726549,0.444822142,1.406783812,2.755632166,,,,,,,,,
1729,5.780677061,1.390238095,2.039262081,0.773258343,0.779619566,2.411678797,2.090704699,1.362384186,3.900684251,1.752138112,0.900061334,0.356320061,0.781113101,1.843377034,0.951007646,0.627018963,1.344691487,1.018732189,0.574747292,1.665021789,3.528640161,3.413001565,0.033605072,1.316075799,0.368039909,0.639804717,,,,,,,,,
1730,0,0.210849976,2.46240221,1.628493815,0.167240309,0.584242979,0.505509837,1.4413061,0.48851828,0.971727057,1.531658617,4.248758655,1.026670707,0.615016221,1.531787586,1.564020985,1.069794319,3.699514938,2.943635997,5.285409378,0,0,1.736607517,1.913137271,0.231109167,0.370171305,,,,,,,,,
