,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n
89,1.160447165,2.137834119,0.963146805,0.828866645,0.632020533,0.452960193,1.983902596,2.235887932,0,2.107517133,1.151530798,2.615272892,0.392701852,1.599262324,0.64611612,1.634150018,0.868104117,1.380752359,0.610512507,1.842183977,0.538441228,0.999522486,1.318427858,1.868821096,0.853881743,0.769470339
90,1.783948505,0.905042546,1.012399898,1.742255798,0.898766601,0.058801082,1.365639993,1.754553076,0,2.567136345,0.663724099,2.210263589,0,1.485881081,0.411177904,0.976355335,0.632573687,1.109705085,0.846889384,1.424114396,0.905979015,0.536139426,1.650718455,2.31447037,0.533753534,1.033285907
91,0.960533975,1.490881807,0.879636365,1.119291316,0.638958388,0.001412681,1.455146995,1.962896278,0,2.088771885,0.436671352,1.982838647,0.646862253,0.943218331,0.019860537,1.178157356,0.32448361,1.479441527,1.528949332,2.210704095,0.454366251,0.332903786,0.94660092,2.083589832,1.273112747,0.774313116
92,0.887073116,1.83764921,1.069677423,1.268258074,0.550221925,0,1.405703487,1.675118154,0.299488341,2.572753476,0.611556207,1.899777357,0.088085182,1.361805309,0.086298858,1.158151278,0.538114192,0.926963273,0.506502924,0.921294855,1.188212014,0.393127014,1.239935891,1.808406364,0.995433114,0.78032624
93,0.843083633,1.726669715,0.901895142,1.034977923,0.674143494,0,1.240444118,2.042055833,0.197768696,2.586182314,1.205013195,2.152294401,0.634799379,1.005506875,0.359666543,1.423442913,0.585680244,1.439266545,0.406371492,1.869614334,1.249490351,0,0.910552783,1.886292619,0.931395068,0.276981115
94,0.865290469,1.881255838,1.136331572,1.181340264,0.558277915,0,0.974532587,2.198176219,0,2.227442512,0.673574836,1.854846785,0.308022342,1.577576774,0.653262077,1.187105666,0.220129133,1.356060669,1.224254084,2.092776641,0.331710932,0.357954445,1.245484669,1.388909116,0.326447527,0.655124463
95,1.164391589,1.499053484,1.149953149,1.237684655,0.04885251,0,1.653785852,1.934660293,0.084602961,1.852354324,0.924873288,1.682391756,0.35671543,1.413311126,0.231678623,1.528585859,0.6856112,2.024623818,0.632489203,1.549580655,1.61236858,0.387301966,1.978894988,1.723538118,0.790991322,0.883035697
96,1.025134699,1.792878471,0.742702893,1.914981896,0.850492754,0,1.741199903,1.370165857,0.341191545,2.844668166,0.462501333,1.980270065,0,0.985411114,0,1.360098212,0.577824521,1.298144728,0.829068199,2.45992588,0.762685151,0,1.640770021,2.349128804,0.78644879,0.750599944
97,1.057159405,1.506859562,0.975057491,1.815194254,0.728259718,0.130536296,1.844049056,2.416935842,0,2.113223679,0.685566987,1.705859328,0.302928192,0.689955861,0.678801017,1.394170211,1.071836578,1.120848346,0.484365134,1.917444369,0.743344481,0.333787347,1.67397937,1.865483408,0.568280096,0.887876787
98,0.685473914,1.211518781,0.94486346,0.920571844,0.927521175,0,1.155653477,1.55501832,0,1.705257083,1.127098279,2.081981207,0.278638063,1.074801178,0.472735303,0.967578473,0.785212955,1.299680236,0.722682382,1.855177848,0.670477656,0.467487828,2.161814874,1.653563114,0.820749047,0.612418116
99,0.687901624,2.149845526,0.301260627,1.485885166,0.166594275,0,1.407409098,1.961428169,0,2.677429794,0.867032383,2.322787212,0.29210724,1.352440364,0.960958384,1.274388806,0.589282185,1.332878179,0.585144161,1.410246753,1.127615041,0.455093822,1.659374409,1.553244918,0.895700616,0.5037475
100,1.572840831,1.645990416,1.119439816,1.903052249,0.868445267,0,1.129059758,2.060270503,0,2.451610737,0.940491451,1.704804425,0.903008162,0.991492653,0,1.482659729,0.262338752,1.160901608,0,2.078538344,1.423121722,0.49504453,1.472822027,1.968455572,1.222081046,0.767221999
